"Time [ms]","PsiD [Wb]","PsiQ [Wb]","Moving1.Torque [NewtonMeter]"
432.812500000002,0.0691873118310819,0.0258634182908974,28.1176999049554
434.375000000002,0.069369584478124,0.0258832752183272,27.7764041981161
435.937500000002,0.0695026926237401,0.0258045688903541,27.944939944651
437.500000000002,0.0696174477494252,0.0257028469282265,28.0166154490207
439.062500000002,0.0696600307405586,0.025566065486888,28.1407094416972
440.625000000002,0.0696792881495118,0.0254342676609452,28.6098875909834
442.187500000002,0.0695816947976948,0.0252951564391626,28.894431635184
443.750000000002,0.069410622094813,0.0251799570561429,29.1152075120753
445.312500000002,0.0692132086863968,0.0251166095839374,29.2239037385529
446.875000000002,0.0690675215536014,0.025102269545358,29.0774925523097
448.437500000002,0.0689165135679781,0.0251373226399238,29.2854225587747
450,0.0688220753443283,0.0252546243166566,29.0524732583349
